year,player,position,player_pos,price,manager
2022,Travis Kelce,TE,Travis Kelce (TE),38,Noah
2022,DK Metcalf,WR,DK Metcalf (WR),18,Noah
2022,Alvin Kamara,RB,Alvin Kamara (RB),7,Noah
2022,Tyreek Hill,WR,Tyreek Hill (WR),41,Noah
2022,David Montgomery,RB,David Montgomery (RB),26,Noah
2022,Kyler Murray,QB,Kyler Murray (QB),6,Noah
2022,A.J. Brown,WR,A.J. Brown (WR),25,Noah
2022,Chris Godwin,WR,Chris Godwin (WR),17,Noah
2022,Trey Lance,QB,Trey Lance (QB),1,Noah
2022,Amon-Ra St. Brown,WR,Amon-Ra St. Brown (WR),8,Noah
2022,Matthew Stafford,QB,Matthew Stafford (QB),6,Noah
2022,Trevor Lawrence,QB,Trevor Lawrence (QB),1,Noah
2022,Robbie Gould,K,Robbie Gould (K),1,Noah
2022,Noah Fant,TE,Noah Fant (TE),1,Noah
2022,Tony Pollard,RB,Tony Pollard (RB),2,Noah
2022,Derrick Henry,RB,Derrick Henry (RB),60,Peggy
2022,Kyle Pitts,TE,Kyle Pitts (TE),32,Peggy
2022,DJ Moore,WR,DJ Moore (WR),30,Peggy
2022,Tom Brady,QB,Tom Brady (QB),11,Peggy
2022,Ezekiel Elliott,RB,Ezekiel Elliott (RB),14,Peggy
2022,Michael Pittman Jr.,WR,Michael Pittman Jr. (WR),22,Peggy
2022,Elijah Mitchell,RB,Elijah Mitchell (RB),15,Peggy
2022,Evan McPherson,K,Evan McPherson (K),3,Peggy
2022,Garrett Wilson,WR,Garrett Wilson (WR),1,Peggy
2022,Skyy Moore,WR,Skyy Moore (WR),1,Peggy
2022,Kareem Hunt,RB,Kareem Hunt (RB),2,Peggy
2022,Kadarius Toney,WR,Kadarius Toney (WR),1,Peggy
2022,Raheem Mostert,RB,Raheem Mostert (RB),1,Peggy
2022,Matt Ryan,QB,Matt Ryan (QB),1,Peggy
2022,Treylon Burks,WR,Treylon Burks (WR),1,Peggy
2022,James Conner,RB,James Conner (RB),29,Tom
2022,Patrick Mahomes,QB,Patrick Mahomes (QB),20,Tom
2022,Josh Allen,QB,Josh Allen (QB),32,Tom
2022,Mark Andrews,TE,Mark Andrews (TE),40,Tom
2022,Leonard Fournette,RB,Leonard Fournette (RB),36,Tom
2022,Keenan Allen,WR,Keenan Allen (WR),30,Tom
2022,Hunter Renfrow,WR,Hunter Renfrow (WR),3,Tom
2022,Dawson Knox,TE,Dawson Knox (TE),1,Tom
2022,Cordarrelle Patterson,RB,Cordarrelle Patterson (RB),1,Tom
2022,Daniel Carlson,K,Daniel Carlson (K),1,Tom
2022,DJ Chark,WR,DJ Chark (WR),1,Tom
